id,temp_ar,radiacao_solar,precipitacao_clima,qtd_agua_necessaria,precipitacao_chuva,Qtd_Agua_apos_chuva,hora_irrig,data_irrig,umidade_solo,temp_solo,cidade,ph_solo,herosao,veloc_vento,umidade_relativ,plantacoes_nomes,tipo_plantacao
26570,33 C°,680,0.4,419.8,0.2,419.0,12:07:18,16/06/22,37%,18 C°,Limoeiro do Norte,['alcalino'],Falso,14.6,13%,Milho,Mamao: Fruta
48113,21 C°,500,0.7,473.6,14.7,473.4,06:45:39,25/03/20,17%,21 C°,Limoeiro do Norte,['neutro'],Falso,9.2,33%,Milho,Banana: Fruta
97910,34 C°,220,1.6,671.1,3.0,670.7,01:29:11,04/12/22,33%,22 C°,Limoeiro do Norte,['alcalino'],Falso,8.2,22%,Feijao,Mamao: Fruta
55062,19 C°,900,1.1,319.8,18.2,318.3,19:05:39,14/12/19,29%,18 C°,Limoeiro do Norte,['alcalino'],Falso,6.8,86%,Banana,Mamao: Fruta
66627,30 C°,760,0.3,508.5,17.9,507.2,04:24:18,14/11/18,80%,21 C°,Limoeiro do Norte,['alcalino'],Falso,17.4,28%,Abacaxi,Melancia: Fruta
74450,29 C°,660,0.4,555.4,13.1,553.5,19:20:48,28/05/19,32%,19 C°,Limoeiro do Norte,['alcalino'],Falso,10.5,88%,Cana-de-Acucar,Milho: Cereal
29004,25 C°,460,1.1,227.9,13.4,226.4,16:48:33,12/08/18,70%,17 C°,Limoeiro do Norte,['ácido'],Falso,11.9,89%,Melancia,Cana-de-Acucar: Cereal
82394,25 C°,120,0.6,564.5,0.1,563.7,08:09:50,29/09/23,67%,22 C°,Limoeiro do Norte,['alcalino'],Falso,6.7,47%,Mamao,Abacaxi: Fruta
02544,33 C°,220,0.3,302.3,19.7,302.1,19:48:25,09/12/19,73%,20 C°,Limoeiro do Norte,['ácido'],Falso,10.1,74%,Abacaxi,Abacaxi: Fruta
38373,20 C°,200,0.4,239.0,17.6,237.6,19:54:29,07/01/21,74%,22 C°,Limoeiro do Norte,['ácido'],Falso,3.5,31%,Banana,Banana: Fruta
92648,30 C°,560,1.8,769.3,17.9,768.8,08:40:04,13/11/19,77%,20 C°,Limoeiro do Norte,['neutro'],Falso,9.5,45%,Mamao,Abacaxi: Fruta
39706,20 C°,100,1.0,779.4,13.2,777.7,10:33:40,29/12/21,68%,18 C°,Limoeiro do Norte,['neutro'],Falso,15.1,73%,Abacaxi,Mamao: Fruta
15322,30 C°,320,0.4,685.0,6.9,683.8,20:32:59,03/12/19,16%,22 C°,Limoeiro do Norte,['neutro'],Falso,9.9,47%,Mamao,Mamao: Fruta
47780,34 C°,360,0.1,382.8,17.9,381.6,19:37:19,16/02/21,31%,18 C°,Limoeiro do Norte,['alcalino'],Falso,10.9,35%,Banana,Melancia: Fruta
43912,18 C°,120,1.2,258.6,5.8,258.2,16:08:58,29/06/22,21%,23 C°,Limoeiro do Norte,['neutro'],Falso,15.3,47%,Banana,Cana-de-Acucar: Cereal
87460,30 C°,100,1.7,610.5,11.3,609.3,19:36:58,15/01/19,62%,17 C°,Limoeiro do Norte,['neutro'],Falso,12.5,51%,Mamao,Mamao: Fruta
48621,27 C°,380,0.3,464.1,2.0,462.9,11:53:41,13/08/19,32%,21 C°,Limoeiro do Norte,['neutro'],Falso,11.8,58%,Mamao,Feijao: Leguminosa
80451,20 C°,800,1.8,273.2,18.4,272.6,20:08:08,25/04/18,18%,22 C°,Limoeiro do Norte,['alcalino'],Falso,5.1,62%,Mamao,Mamao: Fruta
70376,26 C°,500,1.8,497.1,2.8,496.5,22:34:24,20/03/20,19%,17 C°,Limoeiro do Norte,['alcalino'],Falso,8.6,10%,Abacaxi,Mamao: Fruta
34225,33 C°,140,1.3,220.6,4.5,219.9,02:03:46,31/10/19,77%,20 C°,Limoeiro do Norte,['neutro'],Falso,17.8,39%,Abacaxi,Abacaxi: Fruta
49240,28 C°,1000,0.9,745.6,11.2,744.9,18:07:29,08/10/18,53%,23 C°,Limoeiro do Norte,['ácido'],Falso,16.2,47%,Abacaxi,Melancia: Fruta
58838,26 C°,920,0.4,355.3,15.3,354.8,20:47:01,06/09/22,46%,18 C°,Limoeiro do Norte,['neutro'],Falso,10.1,61%,Abacaxi,Feijao: Leguminosa
87102,17 C°,160,0.3,597.5,12.4,596.2,12:23:04,25/01/18,42%,22 C°,Limoeiro do Norte,['ácido'],Falso,17.5,58%,Melancia,Melancia: Fruta
79312,29 C°,500,0.3,387.0,4.6,386.0,17:21:24,18/02/19,69%,24 C°,Limoeiro do Norte,['neutro'],Falso,10.4,57%,Cana-de-Acucar,Milho: Cereal
50232,30 C°,740,0.2,512.0,0.0,510.5,12:04:49,22/04/23,54%,17 C°,Limoeiro do Norte,['neutro'],Falso,6.7,59%,Mamao,Feijao: Leguminosa
42801,20 C°,480,1.0,528.0,15.1,527.5,10:03:26,02/12/20,38%,21 C°,Limoeiro do Norte,['alcalino'],Falso,5.5,17%,Feijao,Mamao: Fruta
79309,29 C°,740,1.2,310.9,19.7,310.8,00:04:32,11/05/23,42%,22 C°,Limoeiro do Norte,['neutro'],Falso,6.0,62%,Melancia,Feijao: Leguminosa
40747,28 C°,820,1.1,781.8,16.2,780.7,07:14:03,29/07/22,57%,21 C°,Limoeiro do Norte,['neutro'],Falso,5.1,39%,Abacaxi,Milho: Cereal
79556,29 C°,420,0.2,665.1,9.2,664.4,12:37:00,02/02/18,39%,21 C°,Limoeiro do Norte,['alcalino'],Falso,7.5,16%,Mamao,Melancia: Fruta
72090,20 C°,780,1.9,763.7,18.1,762.2,10:52:37,29/07/19,73%,23 C°,Limoeiro do Norte,['alcalino'],Falso,15.1,15%,Milho,Abacaxi: Fruta
29288,22 C°,680,0.7,736.9,8.2,735.8,19:23:27,09/09/19,36%,20 C°,Limoeiro do Norte,['alcalino'],Falso,13.5,75%,Mamao,Abacaxi: Fruta
18319,19 C°,860,1.0,558.7,10.5,558.1,18:06:18,19/04/18,10%,17 C°,Limoeiro do Norte,['neutro'],Falso,12.6,12%,Mamao,Mamao: Fruta
75310,31 C°,480,1.3,753.1,9.5,752.8,16:24:22,03/03/20,18%,22 C°,Limoeiro do Norte,['neutro'],Falso,7.1,39%,Melancia,Banana: Fruta
60955,34 C°,500,1.2,253.1,9.0,251.8,15:17:42,23/11/23,25%,19 C°,Limoeiro do Norte,['ácido'],Falso,9.8,10%,Banana,Feijao: Leguminosa
26666,35 C°,800,1.2,317.6,15.5,317.5,11:47:40,16/05/23,68%,21 C°,Limoeiro do Norte,['neutro'],Falso,9.5,56%,Mamao,Melancia: Fruta
94283,34 C°,620,1.8,227.1,10.5,225.8,10:42:24,12/11/21,30%,22 C°,Limoeiro do Norte,['alcalino'],Falso,14.0,14%,Banana,Mamao: Fruta
50163,22 C°,320,0.7,395.2,6.3,394.7,01:52:51,16/07/19,10%,20 C°,Limoeiro do Norte,['alcalino'],Falso,15.0,47%,Feijao,Mamao: Fruta
49376,34 C°,440,1.2,433.2,5.2,432.1,11:49:03,30/07/19,25%,20 C°,Limoeiro do Norte,['neutro'],Falso,11.6,55%,Feijao,Mamao: Fruta
64945,29 C°,340,0.2,362.8,0.8,362.4,07:06:00,16/07/23,74%,23 C°,Limoeiro do Norte,['alcalino'],Falso,13.8,72%,Melancia,Feijao: Leguminosa
83440,27 C°,660,1.4,697.2,11.7,695.4,05:14:38,03/06/19,16%,17 C°,Limoeiro do Norte,['alcalino'],Falso,12.7,81%,Banana,Abacaxi: Fruta
61309,31 C°,620,0.4,414.1,4.6,413.5,11:07:46,16/11/22,15%,24 C°,Limoeiro do Norte,['alcalino'],Falso,8.0,73%,Mamao,Cana-de-Acucar: Cereal
82888,19 C°,260,1.3,368.6,3.0,367.7,12:23:29,18/09/20,29%,23 C°,Limoeiro do Norte,['neutro'],Falso,5.5,68%,Mamao,Cana-de-Acucar: Cereal
00178,26 C°,160,0.2,525.6,13.1,524.5,16:39:58,07/12/18,44%,18 C°,Limoeiro do Norte,['neutro'],Falso,10.2,75%,Feijao,Cana-de-Acucar: Cereal
38536,22 C°,300,0.4,284.6,13.6,283.9,07:57:26,03/02/19,51%,22 C°,Limoeiro do Norte,['ácido'],Falso,15.2,22%,Mamao,Mamao: Fruta
33780,18 C°,940,1.2,681.3,15.0,679.5,19:30:58,26/06/19,37%,18 C°,Limoeiro do Norte,['alcalino'],Falso,11.1,50%,Cana-de-Acucar,Cana-de-Acucar: Cereal
61191,21 C°,120,1.2,244.7,10.1,243.0,08:45:55,20/01/23,51%,19 C°,Limoeiro do Norte,['neutro'],Falso,3.7,83%,Melancia,Feijao: Leguminosa
89650,28 C°,600,0.8,792.1,17.9,790.8,06:24:12,17/08/23,75%,20 C°,Limoeiro do Norte,['alcalino'],Falso,12.8,68%,Feijao,Cana-de-Acucar: Cereal
08730,22 C°,120,0.8,663.3,18.7,662.0,05:50:24,12/04/21,65%,19 C°,Limoeiro do Norte,['neutro'],Falso,9.1,11%,Milho,Cana-de-Acucar: Cereal
43511,21 C°,880,1.8,319.2,16.1,318.9,20:22:40,17/09/18,26%,19 C°,Limoeiro do Norte,['neutro'],Falso,13.8,22%,Milho,Mamao: Fruta
88678,35 C°,460,1.2,203.3,12.7,201.8,09:42:59,25/03/19,77%,18 C°,Limoeiro do Norte,['neutro'],Falso,14.6,15%,Cana-de-Acucar,Mamao: Fruta
37934,19 C°,440,0.7,689.3,6.1,688.6,05:28:42,29/08/23,16%,23 C°,Limoeiro do Norte,['neutro'],Falso,10.9,12%,Mamao,Milho: Cereal
33714,21 C°,600,0.6,624.1,19.7,623.0,05:21:33,29/08/23,11%,21 C°,Limoeiro do Norte,['ácido'],Falso,11.1,60%,Feijao,Mamao: Fruta
22850,35 C°,620,0.1,637.4,5.5,636.5,07:32:24,15/10/22,56%,24 C°,Limoeiro do Norte,['alcalino'],Falso,17.5,20%,Feijao,Mamao: Fruta
78209,22 C°,300,1.2,662.8,4.1,661.9,05:55:37,14/04/19,57%,24 C°,Limoeiro do Norte,['neutro'],Falso,9.8,57%,Feijao,Feijao: Leguminosa
44284,28 C°,160,0.4,244.4,8.8,243.3,09:35:41,07/06/20,34%,21 C°,Limoeiro do Norte,['neutro'],Falso,5.9,59%,Mamao,Banana: Fruta
48310,21 C°,640,0.4,415.1,1.1,414.9,01:58:58,15/04/19,22%,19 C°,Limoeiro do Norte,['alcalino'],Falso,11.3,31%,Cana-de-Acucar,Milho: Cereal
86161,32 C°,360,1.8,269.5,19.6,269.0,18:47:41,05/04/18,27%,20 C°,Limoeiro do Norte,['ácido'],Falso,12.6,27%,Banana,Banana: Fruta
61020,29 C°,580,0.2,717.9,11.8,716.9,19:37:42,12/08/22,65%,18 C°,Limoeiro do Norte,['neutro'],Falso,8.7,70%,Feijao,Melancia: Fruta
11226,35 C°,640,1.2,574.0,11.1,572.3,08:24:32,21/03/22,61%,17 C°,Limoeiro do Norte,['ácido'],Falso,16.7,89%,Mamao,Mamao: Fruta
82913,29 C°,620,0.4,398.5,13.1,397.0,14:24:08,12/05/20,80%,17 C°,Limoeiro do Norte,['alcalino'],Falso,8.1,13%,Abacaxi,Milho: Cereal
37328,24 C°,560,0.5,238.1,9.9,237.0,00:47:36,03/08/20,15%,17 C°,Limoeiro do Norte,['neutro'],Falso,12.3,80%,Mamao,Melancia: Fruta
22073,34 C°,340,0.8,386.6,0.6,384.8,18:14:34,02/06/18,65%,19 C°,Limoeiro do Norte,['alcalino'],Falso,7.4,75%,Banana,Cana-de-Acucar: Cereal
95976,29 C°,980,0.5,395.1,12.2,394.2,12:18:19,31/12/20,54%,24 C°,Limoeiro do Norte,['neutro'],Falso,12.4,11%,Feijao,Banana: Fruta
98749,23 C°,520,1.1,637.8,14.3,637.4,06:42:35,02/04/18,48%,17 C°,Limoeiro do Norte,['ácido'],Falso,14.7,86%,Abacaxi,Milho: Cereal
97219,30 C°,180,1.6,582.5,8.3,581.5,03:22:02,18/05/21,19%,23 C°,Limoeiro do Norte,['ácido'],Falso,17.3,38%,Mamao,Milho: Cereal
73972,17 C°,800,1.6,732.3,15.1,732.1,15:04:55,04/06/23,50%,24 C°,Limoeiro do Norte,['neutro'],Falso,4.1,14%,Cana-de-Acucar,Mamao: Fruta
51830,21 C°,700,1.9,483.3,4.5,482.9,06:47:56,30/06/19,43%,23 C°,Limoeiro do Norte,['neutro'],Falso,3.7,71%,Melancia,Melancia: Fruta
89644,28 C°,980,1.2,271.8,4.4,270.7,22:59:42,22/07/22,11%,21 C°,Limoeiro do Norte,['ácido'],Falso,17.1,31%,Mamao,Abacaxi: Fruta
15784,22 C°,660,0.6,627.9,3.2,626.7,12:13:27,26/01/20,50%,17 C°,Limoeiro do Norte,['ácido'],Falso,4.0,52%,Mamao,Mamao: Fruta
75287,26 C°,620,0.6,656.5,7.4,654.7,12:59:21,23/02/23,30%,22 C°,Limoeiro do Norte,['alcalino'],Falso,3.3,29%,Milho,Mamao: Fruta
63191,33 C°,240,0.2,536.8,16.9,535.6,13:37:06,25/11/23,31%,21 C°,Limoeiro do Norte,['neutro'],Falso,12.2,64%,Melancia,Banana: Fruta
79557,25 C°,440,1.9,662.6,16.6,662.5,11:28:17,08/03/18,74%,21 C°,Limoeiro do Norte,['neutro'],Falso,4.6,42%,Abacaxi,Melancia: Fruta
54986,34 C°,460,1.0,496.3,7.7,494.7,03:56:27,08/03/18,75%,20 C°,Limoeiro do Norte,['ácido'],Falso,7.8,23%,Mamao,Feijao: Leguminosa
25943,31 C°,880,1.2,513.6,11.8,512.5,03:57:42,19/09/19,38%,24 C°,Limoeiro do Norte,['ácido'],Falso,11.9,85%,Feijao,Cana-de-Acucar: Cereal
65935,20 C°,680,0.2,456.5,14.4,455.9,12:26:12,07/03/20,32%,20 C°,Limoeiro do Norte,['ácido'],Falso,16.7,74%,Cana-de-Acucar,Cana-de-Acucar: Cereal
40539,28 C°,620,0.9,215.3,4.8,214.6,10:13:53,04/10/22,39%,24 C°,Limoeiro do Norte,['neutro'],Falso,17.0,77%,Mamao,Cana-de-Acucar: Cereal
27177,25 C°,400,1.9,264.7,3.4,264.2,20:55:28,16/05/22,10%,19 C°,Limoeiro do Norte,['neutro'],Falso,3.3,47%,Cana-de-Acucar,Abacaxi: Fruta
68814,31 C°,560,0.7,218.9,19.4,218.0,21:14:37,03/05/21,48%,23 C°,Limoeiro do Norte,['ácido'],Falso,10.6,90%,Cana-de-Acucar,Milho: Cereal
55147,28 C°,880,0.8,581.8,12.4,580.8,21:07:14,21/11/18,14%,21 C°,Limoeiro do Norte,['ácido'],Falso,7.4,44%,Banana,Milho: Cereal
01550,32 C°,740,0.8,388.6,19.6,388.3,04:38:03,24/02/20,58%,19 C°,Limoeiro do Norte,['alcalino'],Falso,17.5,50%,Abacaxi,Mamao: Fruta
36275,29 C°,480,1.1,505.1,6.8,504.9,00:51:21,09/12/21,17%,17 C°,Limoeiro do Norte,['neutro'],Falso,17.3,13%,Mamao,Mamao: Fruta
28983,22 C°,160,0.9,744.5,14.1,744.4,22:51:20,08/05/20,74%,20 C°,Limoeiro do Norte,['ácido'],Falso,4.6,12%,Melancia,Feijao: Leguminosa
90916,20 C°,580,1.3,349.6,4.5,348.9,00:07:57,01/10/23,17%,19 C°,Limoeiro do Norte,['ácido'],Falso,17.4,77%,Mamao,Feijao: Leguminosa
59163,20 C°,100,0.3,446.2,5.2,446.0,13:54:16,10/08/22,60%,17 C°,Limoeiro do Norte,['ácido'],Falso,4.4,87%,Mamao,Banana: Fruta
49205,26 C°,200,1.8,653.3,10.2,653.1,14:00:02,26/12/21,52%,20 C°,Limoeiro do Norte,['ácido'],Falso,15.9,46%,Milho,Mamao: Fruta
58966,21 C°,220,1.7,337.3,6.4,337.1,08:26:40,15/02/19,74%,23 C°,Limoeiro do Norte,['alcalino'],Falso,12.9,56%,Banana,Feijao: Leguminosa
61316,26 C°,700,1.7,246.2,3.4,245.4,00:45:09,15/03/19,54%,22 C°,Limoeiro do Norte,['alcalino'],Falso,4.1,63%,Banana,Mamao: Fruta
90277,20 C°,1000,0.7,373.9,5.3,372.4,11:04:52,27/05/23,67%,24 C°,Limoeiro do Norte,['neutro'],Falso,13.4,42%,Milho,Cana-de-Acucar: Cereal
96488,25 C°,840,0.1,296.7,0.7,295.3,02:59:02,19/07/19,24%,23 C°,Limoeiro do Norte,['alcalino'],Falso,16.9,56%,Abacaxi,Feijao: Leguminosa
59308,20 C°,760,1.7,757.8,14.1,756.6,04:52:55,11/06/23,67%,22 C°,Limoeiro do Norte,['ácido'],Falso,14.3,47%,Mamao,Cana-de-Acucar: Cereal
43367,25 C°,680,1.1,684.9,9.8,684.7,16:14:53,14/09/19,68%,19 C°,Limoeiro do Norte,['ácido'],Falso,17.8,46%,Cana-de-Acucar,Mamao: Fruta
92179,19 C°,720,0.1,580.0,1.9,579.4,15:59:59,09/01/20,51%,20 C°,Limoeiro do Norte,['neutro'],Falso,12.2,57%,Feijao,Feijao: Leguminosa
44439,30 C°,640,0.9,722.9,3.4,722.0,18:38:48,17/06/18,62%,18 C°,Limoeiro do Norte,['alcalino'],Falso,13.2,80%,Cana-de-Acucar,Cana-de-Acucar: Cereal
61936,34 C°,260,0.5,682.2,2.1,681.8,19:00:15,19/07/21,42%,22 C°,Limoeiro do Norte,['alcalino'],Falso,12.2,59%,Feijao,Banana: Fruta
13343,28 C°,300,0.7,311.9,12.3,311.0,00:08:12,29/09/22,49%,20 C°,Limoeiro do Norte,['neutro'],Falso,10.2,25%,Mamao,Mamao: Fruta
70627,24 C°,120,1.6,735.5,1.9,734.2,04:59:58,29/07/20,17%,24 C°,Limoeiro do Norte,['alcalino'],Falso,4.7,46%,Abacaxi,Cana-de-Acucar: Cereal
45415,22 C°,100,0.2,523.6,15.1,521.8,01:22:52,01/09/20,78%,22 C°,Limoeiro do Norte,['ácido'],Falso,17.2,73%,Cana-de-Acucar,Abacaxi: Fruta
53356,22 C°,340,0.7,684.5,0.4,683.0,00:40:55,06/07/18,60%,22 C°,Limoeiro do Norte,['neutro'],Falso,14.0,72%,Mamao,Feijao: Leguminosa
48410,29 C°,860,1.0,737.7,5.0,736.4,13:34:38,22/06/22,13%,24 C°,Limoeiro do Norte,['alcalino'],Falso,6.8,15%,Abacaxi,Mamao: Fruta
64761,25 C°,120,0.2,390.8,17.8,389.6,00:47:41,14/06/20,51%,19 C°,Limoeiro do Norte,['neutro'],Falso,5.5,67%,Milho,Abacaxi: Fruta
62854,21 C°,380,0.6,266.0,14.4,265.7,13:03:15,06/03/19,31%,23 C°,Limoeiro do Norte,['ácido'],Falso,9.8,63%,Milho,Cana-de-Acucar: Cereal
29140,19 C°,920,1.2,336.8,1.5,334.9,19:32:24,24/06/18,12%,23 C°,Limoeiro do Norte,['neutro'],Falso,16.8,90%,Cana-de-Acucar,Mamao: Fruta
32478,35 C°,480,0.9,456.3,16.4,455.7,00:15:39,19/04/18,69%,19 C°,Limoeiro do Norte,['alcalino'],Falso,17.2,23%,Melancia,Mamao: Fruta
59136,31 C°,380,0.1,690.8,9.9,689.3,00:25:55,06/11/23,68%,18 C°,Limoeiro do Norte,['ácido'],Falso,6.6,36%,Mamao,Feijao: Leguminosa
35453,23 C°,400,0.9,716.4,16.9,714.7,15:41:20,06/04/19,21%,17 C°,Limoeiro do Norte,['ácido'],Falso,15.6,84%,Banana,Cana-de-Acucar: Cereal
91534,34 C°,860,1.8,204.2,12.0,202.5,11:11:32,31/12/22,59%,17 C°,Limoeiro do Norte,['alcalino'],Falso,8.6,80%,Mamao,Cana-de-Acucar: Cereal
68087,34 C°,320,0.3,506.4,13.6,505.6,20:27:21,27/04/22,76%,23 C°,Limoeiro do Norte,['alcalino'],Falso,7.4,67%,Mamao,Melancia: Fruta
51232,31 C°,480,1.7,450.4,19.9,449.6,23:45:04,27/05/23,47%,22 C°,Limoeiro do Norte,['alcalino'],Falso,16.3,51%,Mamao,Cana-de-Acucar: Cereal
85522,28 C°,620,0.6,333.3,4.6,331.7,04:38:34,23/01/23,76%,18 C°,Limoeiro do Norte,['neutro'],Falso,17.8,22%,Milho,Feijao: Leguminosa
34741,28 C°,280,1.8,271.9,12.5,270.9,12:52:49,30/08/20,51%,24 C°,Limoeiro do Norte,['neutro'],Falso,3.8,23%,Feijao,Feijao: Leguminosa
16276,25 C°,240,1.0,402.6,9.2,401.8,12:19:27,26/07/23,73%,17 C°,Limoeiro do Norte,['ácido'],Falso,10.0,60%,Mamao,Feijao: Leguminosa
66691,32 C°,300,1.6,765.7,0.8,764.3,22:06:34,04/03/20,62%,20 C°,Limoeiro do Norte,['alcalino'],Falso,6.4,44%,Banana,Mamao: Fruta
95639,30 C°,400,1.4,393.9,0.3,393.5,06:15:34,05/11/18,19%,19 C°,Limoeiro do Norte,['alcalino'],Falso,10.0,80%,Mamao,Milho: Cereal
86489,30 C°,800,0.7,511.3,2.4,510.6,22:43:54,04/08/20,42%,20 C°,Limoeiro do Norte,['alcalino'],Falso,6.2,61%,Mamao,Mamao: Fruta
68220,30 C°,460,0.1,621.8,13.0,621.1,19:15:07,19/10/18,64%,23 C°,Limoeiro do Norte,['alcalino'],Falso,17.8,54%,Abacaxi,Cana-de-Acucar: Cereal
80755,26 C°,1000,1.0,418.2,11.3,416.5,07:16:43,16/09/21,48%,18 C°,Limoeiro do Norte,['alcalino'],Falso,10.4,66%,Abacaxi,Feijao: Leguminosa
27028,24 C°,240,0.7,783.1,11.1,781.6,16:50:54,31/08/21,66%,24 C°,Limoeiro do Norte,['ácido'],Falso,10.6,32%,Mamao,Banana: Fruta
34831,35 C°,500,1.6,777.5,0.6,775.8,18:20:27,22/11/20,17%,19 C°,Limoeiro do Norte,['neutro'],Falso,6.4,68%,Cana-de-Acucar,Abacaxi: Fruta
08010,34 C°,380,1.6,351.1,9.4,349.4,18:20:30,08/03/18,64%,19 C°,Limoeiro do Norte,['ácido'],Falso,7.3,76%,Abacaxi,Cana-de-Acucar: Cereal
82142,25 C°,960,1.8,498.3,18.5,497.2,23:30:30,14/08/18,37%,20 C°,Limoeiro do Norte,['alcalino'],Falso,11.5,20%,Abacaxi,Cana-de-Acucar: Cereal
85204,29 C°,680,1.4,380.5,8.0,379.4,04:32:15,26/08/21,22%,18 C°,Limoeiro do Norte,['ácido'],Falso,4.9,12%,Cana-de-Acucar,Abacaxi: Fruta
98713,34 C°,900,0.3,370.9,12.5,369.5,10:48:59,25/03/21,70%,20 C°,Limoeiro do Norte,['ácido'],Falso,11.3,15%,Mamao,Cana-de-Acucar: Cereal
51725,35 C°,580,0.9,222.1,15.6,221.0,10:51:56,28/05/20,29%,20 C°,Limoeiro do Norte,['ácido'],Falso,12.9,62%,Abacaxi,Milho: Cereal
40634,31 C°,420,0.9,565.7,15.7,564.5,17:29:45,12/09/19,52%,19 C°,Limoeiro do Norte,['ácido'],Falso,5.5,42%,Mamao,Mamao: Fruta
49234,17 C°,960,0.5,501.6,10.4,500.6,08:51:29,28/05/18,80%,18 C°,Limoeiro do Norte,['neutro'],Falso,7.9,64%,Feijao,Abacaxi: Fruta
20602,33 C°,660,1.2,230.9,17.2,230.2,23:27:54,27/08/22,65%,18 C°,Limoeiro do Norte,['alcalino'],Falso,17.3,76%,Milho,Mamao: Fruta
